UF DO HOSPITAL;LOCAL_DE_INTERNAÇÃO;ANO_MÊS;CPF_DO_PACIENTE;TIPO_DE_INTERNAÇÃO;QTD_DE_DIAS;VALOR_PAGO
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789504;PARTO CESARIANA;1;5221,26
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789507;PARTO CESARIANA;2;5696,96
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789510;PARTO CESARIANA;2;5403,26
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789513;PARTO CESARIANA;2;5221,26
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789516;PARTO CESARIANA;19;18446,52
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789519;PARTO CESARIANA;2;5332,34
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789522;PARTO CESARIANA;2;5679,95
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789525;PARTO CESARIANA;1;5592,52
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789528;PARTO CESARIANA;2;5380,68
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789531;PARTO CESARIANA;2;8833,01
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789534;PARTO CESARIANA;1;5856,46
RIO DE JANEIRO;HOSPITAL X11;01/2020;123456789537;PARTO CESARIANA;2;5337,94
DISTRITO FEDERAL;HOSPITAL X110;01/2020;123456789540;PARTO CESARIANA;2;11497,70
DISTRITO FEDERAL;HOSPITAL X110;01/2020;123456789543;PARTO CESARIANA;5;25334,93
DISTRITO FEDERAL;HOSPITAL X110;01/2020;123456789546;PARTO NORMAL;2;11409,70
DISTRITO FEDERAL;HOSPITAL X110;01/2020;123456789549;PARTO CESARIANA;2;11750,56
DISTRITO FEDERAL;HOSPITAL X110;01/2020;123456789552;PARTO CESARIANA;2;11177,74
DISTRITO FEDERAL;HOSPITAL X110;01/2020;123456789555;PARTO CESARIANA;3;21412,06
DISTRITO FEDERAL;HOSPITAL X110;01/2020;123456789558;PARTO CESARIANA;3;11101,06
DISTRITO FEDERAL;HOSPITAL X110;01/2020;123456789561;PARTO CESARIANA;2;9768,58
DISTRITO FEDERAL;HOSPITAL X110;01/2020;123456789564;PARTO CESARIANA;3;17635,71
DISTRITO FEDERAL;HOSPITAL X110;01/2020;123456789567;PARTO CESARIANA;2;11268,24
DISTRITO FEDERAL;HOSPITAL X110;01/2020;123456789570;PARTO CESARIANA;2;11724,00
DISTRITO FEDERAL;HOSPITAL X110;01/2020;123456789573;PARTO CESARIANA;2;10449,42
DISTRITO FEDERAL;HOSPITAL X110;01/2020;123456789576;PARTO CESARIANA;2;11501,95
DISTRITO FEDERAL;HOSPITAL X110;01/2020;123456789579;PARTO CESARIANA;3;12435,41
BAHIA;HOSPITAL X111;01/2020;123456789582;PARTO CESARIANA;2;12590,22
BAHIA;HOSPITAL X111;01/2020;123456789585;PARTO CESARIANA;2;13369,25
BAHIA;HOSPITAL X111;01/2020;123456789588;PARTO CESARIANA;3;11289,25
BAHIA;HOSPITAL X111;01/2020;123456789591;PARTO CESARIANA;1;13032,91
RIO DE JANEIRO;HOSPITAL X112;01/2020;123456789594;PARTO CESARIANA;2;5153,74
RIO DE JANEIRO;HOSPITAL X112;01/2020;123456789597;PARTO CESARIANA;2;6803,90
RIO DE JANEIRO;HOSPITAL X112;01/2020;123456789600;PARTO CESARIANA;2;7031,47
RIO DE JANEIRO;HOSPITAL X112;01/2020;123456789603;PARTO CESARIANA;2;4525,58
RIO DE JANEIRO;HOSPITAL X112;01/2020;123456789606;PARTO CESARIANA;2;4648,78
RIO DE JANEIRO;HOSPITAL X112;01/2020;123456789609;PARTO CESARIANA;2;3635,56
RIO DE JANEIRO;HOSPITAL X112;01/2020;123456789612;PARTO CESARIANA;2;6676,22
RIO DE JANEIRO;HOSPITAL X112;01/2020;123456789615;PARTO CESARIANA;2;4835,56
PARANA;HOSPITAL X113;01/2020;123456789618;PARTO CESARIANA;2;5736,25
PARANA;HOSPITAL X113;01/2020;123456789621;PARTO CESARIANA;2;3959,44
PARANA;HOSPITAL X113;01/2020;123456789624;PARTO CESARIANA;2;5400,24
PARANA;HOSPITAL X113;01/2020;123456789627;PARTO CESARIANA;2;3982,93
PARANA;HOSPITAL X113;01/2020;123456789630;PARTO NORMAL;3;3486,92
PARANA;HOSPITAL X113;01/2020;123456789633;PARTO CESARIANA;4;7043,27
PARANA;HOSPITAL X113;01/2020;123456789636;PARTO CESARIANA;3;3675,74
PARANA;HOSPITAL X113;01/2020;123456789639;PARTO CESARIANA;2;6063,48
PARANA;HOSPITAL X113;01/2020;123456789642;PARTO CESARIANA;2;4001,74
PARANA;HOSPITAL X113;01/2020;123456789645;PARTO CESARIANA;2;5194,06
PARANA;HOSPITAL X113;01/2020;123456789648;PARTO CESARIANA;2;5282,65
PARANA;HOSPITAL X113;01/2020;123456789651;PARTO CESARIANA;2;3446,70
PARANA;HOSPITAL X113;01/2020;123456789654;PARTO CESARIANA;2;5463,09
PARANA;HOSPITAL X113;01/2020;123456789657;PARTO CESARIANA;3;6541,48
PARANA;HOSPITAL X113;01/2020;123456789660;PARTO CESARIANA;2;3895,18
PARANA;HOSPITAL X113;01/2020;123456789663;PARTO CESARIANA;2;4948,98
PARANA;HOSPITAL X113;01/2020;123456789666;PARTO CESARIANA;3;6294,55
PARANA;HOSPITAL X113;01/2020;123456789669;PARTO CESARIANA;2;6265,74
PARANA;HOSPITAL X113;01/2020;123456789672;PARTO NORMAL;3;5607,17
PARANA;HOSPITAL X113;01/2020;123456789675;PARTO CESARIANA;3;4723,52
DISTRITO FEDERAL;HOSPITAL X114;01/2020;123456789678;PARTO CESARIANA;2;10864,10
DISTRITO FEDERAL;HOSPITAL X114;01/2020;123456789681;PARTO CESARIANA;3;10037,95
DISTRITO FEDERAL;HOSPITAL X114;01/2020;123456789684;PARTO CESARIANA;2;9448,40
DISTRITO FEDERAL;HOSPITAL X114;01/2020;123456789687;PARTO CESARIANA;1;1854,03
PERNAMBUCO;HOSPITAL X115;01/2020;123456789690;PARTO CESARIANA;2;6577,67
PERNAMBUCO;HOSPITAL X115;01/2020;123456789693;PARTO CESARIANA;2;5764,77
SAO PAULO;HOSPITAL X116;01/2020;123456789696;PARTO CESARIANA;4;26431,34
RIO GRANDE DO SUL;HOSPITAL X117;01/2020;123456789699;PARTO CESARIANA;2;11164,65
RIO GRANDE DO SUL;HOSPITAL X117;01/2020;123456789702;PARTO CESARIANA;2;6873,46
MINAS GERAIS;HOSPITAL X119;01/2020;123456789705;PARTO CESARIANA;2;5375,98
MINAS GERAIS;HOSPITAL X119;01/2020;123456789708;PARTO NORMAL;1;6484,22
MINAS GERAIS;HOSPITAL X119;01/2020;123456789711;PARTO CESARIANA;2;8745,47
MINAS GERAIS;HOSPITAL X119;01/2020;123456789714;PARTO NORMAL;1;5010,15
MINAS GERAIS;HOSPITAL X119;01/2020;123456789717;PARTO CESARIANA;3;8467,25
MINAS GERAIS;HOSPITAL X119;01/2020;123456789720;PARTO CESARIANA;2;7294,67
MINAS GERAIS;HOSPITAL X119;01/2020;123456789723;PARTO NORMAL;2;10658,27
MINAS GERAIS;HOSPITAL X119;01/2020;123456789726;PARTO CESARIANA;2;7294,67
MINAS GERAIS;HOSPITAL X119;01/2020;123456789729;PARTO NORMAL;1;7488,41
SAO PAULO;HOSPITAL X122;01/2020;123456789732;PARTO CESARIANA;2;5938,10
SAO PAULO;HOSPITAL X122;01/2020;123456789735;PARTO NORMAL;2;4391,10
SAO PAULO;HOSPITAL X122;01/2020;123456789738;PARTO CESARIANA;2;4930,70
SAO PAULO;HOSPITAL X122;01/2020;123456789741;PARTO NORMAL;2;4391,10
SAO PAULO;HOSPITAL X122;01/2020;123456789744;PARTO NORMAL;1;4448,80
SAO PAULO;HOSPITAL X122;01/2020;123456789747;PARTO CESARIANA;2;5606,70
SAO PAULO;HOSPITAL X122;01/2020;123456789750;PARTO CESARIANA;2;5924,50
SAO PAULO;HOSPITAL X122;01/2020;123456789753;PARTO CESARIANA;3;5376,10
SAO PAULO;HOSPITAL X122;01/2020;123456789756;PARTO CESARIANA;3;4873,00
SAO PAULO;HOSPITAL X122;01/2020;123456789759;PARTO CESARIANA;2;4930,70
SAO PAULO;HOSPITAL X122;01/2020;123456789762;PARTO NORMAL;1;4535,10
SAO PAULO;HOSPITAL X122;01/2020;123456789765;PARTO NORMAL;2;4448,80
SAO PAULO;HOSPITAL X122;01/2020;123456789768;PARTO NORMAL;10;26060,45
CEARA;HOSPITAL X123;01/2020;123456789771;PARTO CESARIANA;1;5259,29
CEARA;HOSPITAL X123;01/2020;123456789774;PARTO NORMAL;1;4173,26
CEARA;HOSPITAL X123;01/2020;123456789777;PARTO CESARIANA;1;6958,19
CEARA;HOSPITAL X123;01/2020;123456789780;PARTO CESARIANA;2;7914,55
CEARA;HOSPITAL X123;01/2020;123456789783;PARTO CESARIANA;1;5277,43
CEARA;HOSPITAL X123;01/2020;123456789786;PARTO CESARIANA;1;4187,69
CEARA;HOSPITAL X123;01/2020;123456789789;PARTO CESARIANA;2;8134,55
CEARA;HOSPITAL X123;01/2020;123456789792;PARTO CESARIANA;2;6462,51
BAHIA;HOSPITAL X125;01/2020;123456789795;PARTO CESARIANA;2;8324,61
BAHIA;HOSPITAL X125;01/2020;123456789798;PARTO CESARIANA;2;8186,05
AMAZONAS;HOSPITAL X126;01/2020;123456789801;PARTO CESARIANA;3;6573,60
AMAZONAS;HOSPITAL X126;01/2020;123456789804;PARTO CESARIANA;1;6242,70
AMAZONAS;HOSPITAL X126;01/2020;123456789807;PARTO CESARIANA;2;7277,48
AMAZONAS;HOSPITAL X126;01/2020;123456789810;PARTO CESARIANA;2;7684,96
AMAZONAS;HOSPITAL X126;01/2020;123456789813;PARTO NORMAL;2;12365,50
AMAZONAS;HOSPITAL X126;01/2020;123456789816;PARTO NORMAL;2;6804,00
AMAZONAS;HOSPITAL X126;01/2020;123456789819;PARTO CESARIANA;3;8408,00
AMAZONAS;HOSPITAL X126;01/2020;123456789822;PARTO CESARIANA;5;16792,47
AMAZONAS;HOSPITAL X126;01/2020;123456789825;PARTO CESARIANA;2;6443,70
AMAZONAS;HOSPITAL X126;01/2020;123456789828;PARTO CESARIANA;2;8234,96
AMAZONAS;HOSPITAL X126;01/2020;123456789831;PARTO CESARIANA;2;8234,96
AMAZONAS;HOSPITAL X126;01/2020;123456789834;PARTO CESARIANA;2;6764,70
AMAZONAS;HOSPITAL X126;01/2020;123456789837;PARTO NORMAL;3;14102,59
PERNAMBUCO;HOSPITAL X127;01/2020;123456789840;PARTO NORMAL;2;9591,92
PERNAMBUCO;HOSPITAL X127;01/2020;123456789843;PARTO CESARIANA;2;9004,03
PERNAMBUCO;HOSPITAL X127;01/2020;123456789846;PARTO CESARIANA;1;10586,51
PERNAMBUCO;HOSPITAL X127;01/2020;123456789849;PARTO CESARIANA;2;8209,95
PERNAMBUCO;HOSPITAL X127;01/2020;123456789852;PARTO CESARIANA;1;7958,54
RIO DE JANEIRO;HOSPITAL X128;01/2020;123456789855;PARTO CESARIANA;0;9395,98
ESPIRITO SANTO;HOSPITAL X129;01/2020;123456789858;PARTO NORMAL;2;4684,21
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789861;PARTO NORMAL;2;11495,21
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789864;PARTO CESARIANA;2;9273,57
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789867;PARTO CESARIANA;3;11014,53
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789870;PARTO CESARIANA;2;7024,32
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789873;PARTO CESARIANA;2;9343,72
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789876;PARTO CESARIANA;2;9310,97
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789879;PARTO CESARIANA;2;9218,77
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789882;PARTO CESARIANA;2;9201,22
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789885;PARTO CESARIANA;3;9466,09
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789888;PARTO NORMAL;3;12081,45
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789891;PARTO CESARIANA;3;7560,73
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789894;PARTO CESARIANA;2;9761,05
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789897;PARTO NORMAL;2;9681,12
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789900;PARTO NORMAL;2;8653,57
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789903;PARTO CESARIANA;3;9217,56
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789906;PARTO CESARIANA;2;9709,40
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789909;PARTO CESARIANA;2;9602,77
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789912;PARTO CESARIANA;1;11906,69
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789915;PARTO CESARIANA;2;9163,22
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789918;PARTO CESARIANA;2;9311,10
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789921;PARTO CESARIANA;3;8913,57
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789924;PARTO CESARIANA;2;14457,07
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789927;PARTO CESARIANA;3;8773,17
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789930;PARTO CESARIANA;2;10712,50
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789933;PARTO CESARIANA;2;8793,77
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789936;PARTO CESARIANA;6;16591,68
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789939;PARTO NORMAL;2;11925,07
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789942;PARTO NORMAL;2;11115,17
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789945;PARTO CESARIANA;2;10041,07
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789948;PARTO CESARIANA;2;8989,57
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789951;PARTO CESARIANA;2;10766,72
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789954;PARTO CESARIANA;2;9071,97
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789957;PARTO CESARIANA;3;8320,37
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789960;PARTO NORMAL;2;9849,06
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789963;PARTO CESARIANA;2;9125,87
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789966;PARTO CESARIANA;2;11331,73
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789969;PARTO CESARIANA;2;8503,27
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789972;PARTO CESARIANA;2;8523,72
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789975;PARTO CESARIANA;2;8121,18
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789978;PARTO CESARIANA;2;8795,07
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789981;PARTO NORMAL;2;9556,56
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789984;PARTO CESARIANA;2;8561,72
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789987;PARTO CESARIANA;2;8760,97
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789990;PARTO CESARIANA;3;9234,62
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789993;PARTO CESARIANA;2;9054,05
DISTRITO FEDERAL;HOSPITAL X13;01/2020;123456789996;PARTO CESARIANA;2;8960,82
